Country,AreaId
AFG,5
AHO,7
AIA,7
ALB,1
ALG,4
ANA,1
AND,1
ANG,4
ANT,7
ARG,7
ARM,1
ARU,7
ASA,6
AUS,6
AUT,1
AZE,1
BAH,7
BAN,5
BAR,7
BDI,4
BEL,1
BEN,4
BER,7
BHU,5
BIH,1
BIH,1
BIZ,7
BLR,1
BOL,7
BOT,4
BRA,7
BRN,5
BRU,5
BUL,1
BUR,4
CAF,4
CAM,5
CAN,7
CAY,7
CGO,4
CHA,4
CHI,7
CHN,5
CIV,4
CMR,4
COD,4
COK,6
COL,7
COM,4
CPV,4
CRC,7
CRO,1
CUB,7
CYP,1
CZE,1
DEN,1
DJI,4
DMA,7
DOM,7
ECU,7
EGY,4
ERI,4
ESA,7
ESP,1
EST,1
ETH,4
FIJ,6
FIN,1
FRA,1
FSM,6
GAB,4
GAM,4
GBR,1
GBS,4
GEO,1
GEQ,4
GER,1
GHA,4
GRE,1
GRE,1
GRN,7
GUA,7
GUI,4
GUM,6
GUY,7
HAI,7
HKG,5
HON,7
HUN,1
HUN,1
INA,5
IND,5
IRI,5
IRL,1
IRQ,5
ISL,1
ISR,1
ISV,7
ITA,1
IVB,7
JAM,7
JOR,5
JPN,5
KAZ,5
KEN,4
KGZ,6
KOR,5
KOS,1
KSA,5
KUW,5
LAO,5
LAT,1
LBA,4
LBR,4
LCA,7
LES,4
LIB,5
LIE,1
LTU,1
LUX,1
MAC,5
MAD,4
MAR,4
MAS,5
MAW,4
MDA,1
MDV,5
MEX,7
MGL,5
MHL,6
MKD,1
MLI,4
MLT,1
MNE,1
MON,1
MOZ,4
MRI,4
MTN,4
MYA,5
NAM,4
NCA,7
NED,1
NEP,5
NGR,4
NIG,4
NN,1
NOR,1
NRU,6
NZL,6
OMA,5
PAK,5
PAN,7
PAR,7
PER,7
PHI,5
PLE,5
PLW,6
PNG,6
POL,1
POR,1
PRK,5
PUR,7
QAT,5
ROU,1
RSA,4
RUS,1
RWA,4
SAM,6
SEN,4
SEY,5
SGP,5
SKN,7
SLE,4
SLO,1
SMR,1
SOL,6
SOM,4
SRB,1
SRI,5
SSD,4
STP,7
SUD,4
SUI,1
SUR,7
SVK,1
SWE,1
SWZ,4
SYR,5
TAN,4
TGA,7
THA,5
TJK,5
TKM,6
TLS,5
TOG,4
TPE,5
TTO,4
TUN,4
TUR,1
TUV,6
UAE,5
UGA,4
UKR,1
URU,7
USA,7
UZB,1
VAN,6
VEN,7
VIE,5
VIN,7
XXA,1
YEM,5
ZAM,4
ZIM,4
XXA,0
